Kategori,Gejala
d,kadang gambaran terlihat kemerahan di gusi
d,bahkan nanah di sela gusi sama gigi
d,gusi akhir-akhir ini sering banget berdarah pas lagi sikat gigi
d,"Gabisa ngunyah makanan, gigi bengkak. Tapi kalo ga makan lambung kena"
d,terjadi akumulasi plak dan karang gigi
d,gigi goyang disertai perih yang menjalar hingga rahang
d,memerahnya gusi di sekitar pangkal gigi
d,bau nafas seperti bau logam
d,"ketika menggunakan gigi palsu, tidak terpasang dengan erat"
d,bau nafas yang bertahan lama
d,bau nafas tidak bisa hilang dengan mouthwash atau obat antiseptik lainnya
d,gusi mudah berdarah ketika menggunakan benang gigi
d,gusi lagi berdarah terus kadang ada nanahnya juga 
d,gusiku berwarna merah kehitaman
d,"kemaren bersihin sela pake benang gigi, tiba-tiba berdarah padahal sebelumnya normal aja "
d,"waktu bersihin karang gigi ,gusi sakit. biasanya nyaman aja"
d,gigi longgar serta terasa perih di sela gusi dan gigi
d,gusi berubah warna menjadi lebih pucat
d,gigi goyah seperti akan lepas
d,gusi menjadi kebiruan 
d,gusi rasanya perih ketika disentuh
d,karang gigi yang mengeras dan nyeri
d,"Terdapat luka berbentuk oval atau bulat yang berwarna putih/kuning dan tepi yang merah di
dalam rongga mulut "
d,Gusiku tiba-TIBA Berdarah
d,muncul nanah pada gusiku
,
,
,
,
e,"Kamu itu seperti nyeri sakit gigi, kadang muncul,kadang engga."
e,sakit gigi emang lebih sakit dari sakit hati please gakuat
e,hatiku berlubang seperti gigiku yang berlubang
e,ternyata cabut gigi tidak sesakit 
e,Apa daya sakit hati bisa bikin aku banyak makan si karna galau sakit gigi bikin aku kurusan karna males ngunyah makanan
e,Mending Galau Karna Gigi Gua Ompong Gara2 Ditonjok dari Pada Galau Mikirin kamu
e,"udah ini sakit gigi, galau lagi, lengkap sudah"
e,"Bener ya lebih baik sakit gigi, daripada sakit hati,apalagi ketika kamu balikan sama mantanmu dan ninggalin aku."
e,"Sakit ati masih bisa makan, sakit gigi kena senggol lidah dikit aja pen marach"
e,Sakit hati dan sakit gigi itu sama-sama berawal dari yang manis
e,Sakit menahan rindu itu tidak sesusah menahan nyeri waktu sakit gigi
e,mendingan pusing gara-gara tugas deh daripada gara-gara gigi bolong
e,lebih baik bolong gigi sih daripada bolong puasa
e,"ga boong asli, sakit gigi lebih menyakitkan daripada masalah - masalah hidupku"
e,"lagi pengen banyak makan, tapi ni gigi gabisa diajak kompromi. alias mengganggu nafsu makan bangett parah"
e,nyari pc yoongi sakit gigi susah bener dah
e,siapa yang mengizinkan sakit gigi ada di dunia sih
e,Pingin nyapa kembali tapi lagi sakit gigi
e,katanya obat sakit gigi paling ampuh itu cium pipi
e,"Maaf ya engga bisa diem, kalo diem berarti kita lagi sakit gigi"
e,"Kamu tau ga.Tiap kamu ketawa,gigi aku sakit.Gemes."
e,Yang sakit gigi tapi yg teriris iris hati
e, kalo sakit gigi dompet juga ikutan sakit 
e,kalo sakit gigi sakitnya gaada ahlak
e,Dahlah punya gigi bikin sakit gigi. Gapunya gigi gabisa makan.
e,"nangis tiap hari dahlah gak mau lagi gue ngerasain sakit gigi,gak sanggup"
e,"masih sakit gigi tp setidaknya udah bisa tidur"
e,"Tensi ikut tinggi pasti pas sakit gigi, bawaannya pengen makan orang"
e,Kangen sama gigi nya yang gerigis di masa tk & sd kls 2 terus selalu main bareng
e,katanya obat sakit gigi paling ampuh itu dapet duit banyak
e,ngantuk
e,pengen tidur
e,ngerasa kurang duit
e,lelah karena banyak tugas
e,mager
e,males gerak
e,keyak ngantuk banget
e,rasanya seperti mau terbang
e,pengen jadi batu
e,yang sakit gigi eh yg nyeri hati
e,"gigiku terasa sakit, karena gak ada uang"
e,bersenang-senang
e,menari-nari
e,tertawa riang
e,gigiku bagus
e,gigiku putih bersih
e,aku merasa sehat hari ini
e,minum susu
e,ngantuk atau terasa kantuk 
e,merinding sebadan
e,Tangan Tremor
e,Jantung dag dig dug
e,bengkak di pipi ngurangin pede
e,"lagi sakit gigi, tolong kasih afeksi"
e,"yang berlubang gigi, eh yang sakit hati"
e,Siku pegal
e,sakit gigi rasanya kaya syaraf kepala dicubitin pake tang
e,lipbalm tuh ampuh buat bibir kering apalagi kalo gratis
e,pinggang rasanya kaya mau copot
e,lutut pegel
e,tengkuk sakit kaya dipukul pake balok
e,tanganku pegel sekali
e,lagi susah senyum
e,"dompetku kering, begitupun bibirku"
e,hari ini lagi banyak senengnya
e,kepala pening butuh liburan
e,obat manjur sariawan itu es jeruk gratis
,
,
f,muncul luka di dalam bibir
f,terjadi peradangan di mulut
f,ada luka berbentuk bulat berwarna putih
f,bibirku ada luka bentuk oval tepinya warna merah
f,bagian dalam bibirku rasanya perih
f,bibirku pegel susah buat makan
f,mulut terasa perih dan susah digunakan untuk berbicara
f,bibir pecah-pecah
f,ada sensasi kesemutan atau terbakar di area bibir 
f,muncul kemerahan dan luka yang membuat nyeri 
f,pembengkakan gusi
f,muncul luka warna merah di bagian dalam pipi
f,lidahku rasanya seperti terbakar
f,Bagian dalam mulut dan tenggorokan berwarna merah
f,tenggorokanku rasanya ga nyaman ketika menelan sesuatu
f,"bibirku ga sengaja kegigit waktu makan, dan sekarang rasanya perih"
f,di lidahku ada luka berwarna putih dan bikin nyeri
f,ada luka bentuknya bulat dan berwarna kuning di gusiku
f,muncul luka kecil yang dangkal di rongga mulut
f,timbul plak putih di lidah
f,mulut luka berbentuk bercak berwarna putih kekuningan dengan permukaan agak cekung
f,terasa perih jika disentuh
